Sentence,Action,Room,Object
clean the item in the bedroom,place,bedroom,unknown
store the tomato near the parlor,place,living room,tomato
specify every detail beverage by the bathroom,describe,bathroom,beverage
take a soda,place,unknown,soda
move toward the cookies inside the bedroom,go,bedroom,cookies
store the corn near the kitchen,place,kitchen,corn
tell everything you see soda in the my room,describe,bedroom,soda
find some corn close to the bedroom,get,bedroom,corn
answer are the object close to the bath,question,bathroom,unknown
clean the carrots,place,unknown,carrots
identify some water,get,unknown,water
would is the soda in the living room,question,living room,soda
how you tell vegetables around the pantry,question,kitchen,vegetables
locate some item from the my room,get,bedroom,unknown
what are you tell peas close to the my room,question,bedroom,peas
identify some cookies,get,unknown,cookies
proceed to the banana inside the my room,go,bedroom,banana
would are the soda,question,unknown,soda
clear away the cookies in the bath,place,bathroom,cookies
go to the crackers from the my room,go,bedroom,crackers
clear the chips,place,unknown,chips
explain what you see apple,describe,unknown,apple
drive over by the water,go,unknown,water
answer you do water near the bath,question,bathroom,water
place an apple by the canteen,place,kitchen,apple
what is you tell apple in the living room,question,living room,apple
proceed toward the beverage around the pantry,go,kitchen,beverage
throw away an item near the my room,place,bedroom,unknown
clear the water inside the pantry,place,kitchen,water
where you tell apple,question,unknown,apple
search for the water,get,unknown,water
head near the carrots near the bath,go,bathroom,carrots
how is the banana in the bedroom,question,bedroom,banana
head toward the vegetables,go,unknown,vegetables
could you tell chips inside the sitting room,question,living room,chips
report in details beverage,describe,unknown,beverage
put away the crackers,place,unknown,crackers
retrieve a soda by the canteen,get,kitchen,soda
throw out the chips,place,unknown,chips
fetch some thing from the kitchen,get,kitchen,unknown
head by the peas near the living room,go,living room,peas
express what's there soda in the bathroom,describe,bathroom,soda
head near the peas from the parlor,go,living room,peas
where you tell orange close to the living room,question,living room,orange
drive to the my room,go,bedroom,unknown
fetch me the banana from the bedroom,get,bedroom,banana
retrieve some crackers,get,unknown,crackers
put away a water from the my room,place,bedroom,water
clear a chips close to the kitchen,place,kitchen,chips
search for some crackers near the living room,get,living room,crackers
clean the item from the kitchen,place,kitchen,unknown
clean the corn close to the bedroom,place,bedroom,corn
specify every detail soda,describe,unknown,soda
identify an orange inside the my room,get,bedroom,orange
express what's there thing near the kitchen,describe,kitchen,unknown
store an apple,place,unknown,apple
head towards the cookies by the canteen,go,kitchen,cookies
put away a tomato close to the parlor,place,living room,tomato
explain what you see thing inside the parlor,describe,living room,unknown
move towards the bedroom,go,bedroom,unknown
bring me the soda,get,unknown,soda
grab me some soda close to the bedroom,get,bedroom,soda
fetch some object in the my room,get,bedroom,unknown
present every detail corn by the parlor,describe,living room,corn
proceed towards the banana in the bedroom,go,bedroom,banana
throw out the water in the bath,place,bathroom,water
navigate towards the carrots close to the kitchen,go,kitchen,carrots
navigate over by the water in the bathroom,go,bathroom,water
drive over to the water inside the pantry,go,kitchen,water
pick up a corn,get,unknown,corn
describe in details apple,describe,unknown,apple
report everything you see tomato,describe,unknown,tomato
tidy up the carrots,place,unknown,carrots
present everything you see item near the my room,describe,bedroom,unknown
go toward the crackers inside the canteen,go,kitchen,crackers
bring a tuna near the bath,get,bathroom,tuna
proceed toward the soda,go,unknown,soda
tell what's there apple,describe,unknown,apple
grab me some chips close to the my room,get,bedroom,chips
answer you do thing in the bedroom,question,bedroom,unknown
tell everything you see crackers by the bath,describe,bathroom,crackers
bring a crackers,get,unknown,crackers
grab me some water,get,unknown,water
head toward the beverage close to the bath,go,bathroom,beverage
move to the banana by the bath,go,bathroom,banana
bring some soda from the bedroom,get,bedroom,soda
get me some item around the parlor,get,living room,unknown
what is is the carrots,question,unknown,carrots
tell everything you see object around the sitting room,describe,living room,unknown
express every detail beverage inside the canteen,describe,kitchen,beverage
find some thing from the my room,get,bedroom,unknown
take an item around the bedroom,place,bedroom,unknown
tidy the orange from the bath,place,bathroom,orange
search for the soda,get,unknown,soda
answer you do water in the living room,question,living room,water
how you tell apple near the living room,question,living room,apple
present everything you see orange near the bathroom,describe,bathroom,orange
pick up a soda by the parlor,get,living room,soda
tell what you see tomato by the bathroom,describe,bathroom,tomato
what are you tell chips in the parlor,question,living room,chips
put away a chips from the pantry,place,kitchen,chips
what is you do tomato,question,unknown,tomato
describe what you see soda,describe,unknown,soda
would you tell apple by the bedroom,question,bedroom,apple
go to the apple by the sitting room,go,living room,apple
how you tell orange,question,unknown,orange
clear away a beverage close to the living room,place,living room,beverage
throw out the orange in the bath,place,bathroom,orange
grab me some cookies in the bathroom,get,bathroom,cookies
throw away the soda around the parlor,place,living room,soda
clear away the crackers in the my room,place,bedroom,crackers
place the tuna close to the bathroom,place,bathroom,tuna
navigate over by the orange,go,unknown,orange
get a banana by the pantry,get,kitchen,banana
clean up a corn in the bedroom,place,bedroom,corn
look for the item near the canteen,get,kitchen,unknown
could are the banana close to the bedroom,question,bedroom,banana
present everything you see carrots,describe,unknown,carrots
get some object inside the my room,get,bedroom,unknown
how you tell object around the bath,question,bathroom,unknown
head near the beverage from the pantry,go,kitchen,beverage
tidy up a vegetables,place,unknown,vegetables
drive toward the banana inside the my room,go,bedroom,banana
put away the crackers,place,unknown,crackers
drive towards the chips inside the pantry,go,kitchen,chips
proceed near the cookies from the canteen,go,kitchen,cookies
take an orange,place,unknown,orange
